siparis_no,tarih,musteri_id,sehir,kategori,urun_adi,adet,birim_fiyat,tutar,odeme_yontemi,durum
S10001,2026-01-01,M0282,İstanbul,Kozmetik,Şampuan,1,159,159,Kredi Kartı,Tamamlandı
S10002,2026-01-01,M0096,İstanbul,Elektronik,Oyuncu Mouse,1,899,899,Kredi Kartı,Tamamlandı
S10003,2026-01-01,M0604,İstanbul,Elektronik,Akıllı Saat,1,3499,3499,Havale/EFT,Tamamlandı
S10003,2026-01-01,M0604,İstanbul,Kozmetik,Parfüm,1,1599,1599,Havale/EFT,Tamamlandı
S10004,2026-01-01,M0353,İzmir,Ev Yaşam,Tencere Seti,1,3299,3299,Havale/EFT,Tamamlandı
S10004,2026-01-01,M0353,İzmir,Spor,Dambıl Seti,2,1249,2498,Havale/EFT,Tamamlandı
S10005,2026-01-02,M0722,İstanbul,Kitap,Çocuk Kitabı,2,149,298,Banka Kartı,Tamamlandı
S10005,2026-01-02,M0722,İstanbul,Ev Yaşam,Tencere Seti,1,3299,3299,Banka Kartı,Tamamlandı
S10006,2026-01-02,M0687,İstanbul,Kozmetik,Parfüm,2,1599,3198,Kapıda Ödeme,Tamamlandı
S10006,2026-01-02,M0687,İstanbul,Giyim,Kazak,2,749,1498,Kapıda Ödeme,Tamamlandı
S10007,2026-01-02,M0702,İstanbul,Spor,Dambıl Seti,1,1249,1249,Havale/EFT,Tamamlandı
S10008,2026-01-02,M0581,Adana,Giyim,Kazak,1,749,749,Kredi Kartı,Tamamlandı
S10008,2026-01-02,M0581,Adana,Giyim,Tişört,1,349,349,Kredi Kartı,Tamamlandı
S10009,2026-01-03,M0225,Trabzon,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S10010,2026-01-03,M0697,Ankara,Kitap,Kişisel Gelişim Kitabı,4,229,916,Kredi Kartı,Tamamlandı
S10011,2026-01-03,M0012,Bursa,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S10011,2026-01-03,M0012,Bursa,Elektronik,Kablosuz Kulaklık,2,1299,2598,Kredi Kartı,Tamamlandı
S10012,2026-01-03,M0513,Antalya,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S10013,2026-01-03,M0383,Antalya,Ev Yaşam,Kahve Makinesi,1,2199,0,Kredi Kartı,İade
S10013,2026-01-03,M0383,Antalya,Kitap,Çocuk Kitabı,2,149,298,Kredi Kartı,Tamamlandı
S10014,2026-01-03,M0060,İstanbul,Kozmetik,Güneş Kremi,4,459,1836,Banka Kartı,Tamamlandı
S10015,2026-01-03,M0129,İstanbul,Giyim,Kazak,1,749,749,Kredi Kartı,Tamamlandı
S10016,2026-01-04,M0553,Bursa,Giyim,Spor Ayakkabı,1,1899,1899,Banka Kartı,Tamamlandı
S10016,2026-01-04,M0553,Bursa,Ev Yaşam,Nevresim Takımı,1,1149,0,Banka Kartı,İade
S10017,2026-01-04,M0568,İstanbul,Kozmetik,Parfüm,3,1599,4797,Kredi Kartı,Tamamlandı
S10018,2026-01-04,M0073,İzmir,Ev Yaşam,Masa Lambası,3,649,1947,Kredi Kartı,Tamamlandı
S10019,2026-01-04,M0249,Antalya,Elektronik,Bluetooth Hoparlör,1,1799,1799,Havale/EFT,Tamamlandı
S10020,2026-01-04,M0747,İstanbul,Elektronik,Tablet,2,8999,17998,Banka Kartı,Tamamlandı
S10020,2026-01-04,M0747,İstanbul,Elektronik,Bluetooth Hoparlör,1,1799,1799,Banka Kartı,Tamamlandı
S10021,2026-01-05,M0078,Ankara,Elektronik,Oyuncu Kulaklığı,2,1899,3798,Havale/EFT,Tamamlandı
S10022,2026-01-05,M0772,Adana,Elektronik,Akıllı Saat,1,3499,3499,Kredi Kartı,Tamamlandı
S10023,2026-01-06,M0400,İstanbul,Giyim,Kazak,4,749,2996,Havale/EFT,Tamamlandı
S10024,2026-01-06,M0736,Ankara,Elektronik,Tablet,1,8999,8999,Kredi Kartı,Tamamlandı
S10025,2026-01-06,M0052,İzmir,Elektronik,Oyuncu Kulaklığı,1,1899,1899,Kredi Kartı,Tamamlandı
S10025,2026-01-06,M0052,İzmir,Ev Yaşam,Masa Lambası,1,649,649,Kredi Kartı,Tamamlandı
S10026,2026-01-06,M0584,İstanbul,Giyim,Tişört,1,349,349,Banka Kartı,Tamamlandı
S10026,2026-01-06,M0584,İstanbul,Elektronik,Tablet,1,8999,8999,Banka Kartı,Tamamlandı
S10027,2026-01-06,M0688,İzmir,Kitap,Roman,2,189,378,Kredi Kartı,Tamamlandı
S10027,2026-01-06,M0688,İzmir,Elektronik,Bluetooth Hoparlör,1,1799,1799,Kredi Kartı,Tamamlandı
S10027,2026-01-06,M0688,İzmir,Giyim,Kot Pantolon,1,899,899,Kredi Kartı,Tamamlandı
S10028,2026-01-07,M0310,İzmir,Elektronik,Tablet,1,8999,8999,Kapıda Ödeme,Tamamlandı
S10028,2026-01-07,M0310,İzmir,Kitap,Roman,1,189,189,Kapıda Ödeme,Tamamlandı
S10029,2026-01-07,M0567,İstanbul,Giyim,Spor Ayakkabı,2,1899,3798,Kredi Kartı,Tamamlandı
S10030,2026-01-07,M0258,Adana,Giyim,Mont,1,2299,2299,Havale/EFT,Tamamlandı
S10031,2026-01-08,M0653,Trabzon,Kozmetik,Şampuan,1,159,159,Kredi Kartı,Tamamlandı
S10032,2026-01-08,M0708,Adana,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S10032,2026-01-08,M0708,Adana,Kitap,Çocuk Kitabı,2,149,298,Kredi Kartı,Tamamlandı
S10033,2026-01-08,M0216,Bursa,Ev Yaşam,Tencere Seti,4,3299,13196,Banka Kartı,Tamamlandı
